Date,close,Index (MSI),MACD
8-8-2019,"11,947.73",-91.20,-13.76
9-8-2019,"11,857.53",-93.11,-12.73
10-8-2019,"11,280.77",-98.12,-11.93
11-8-2019,"11,530.87",-103.85,-11.57
12-8-2019,"11,385.03",-104.79,-11.61
13-8-2019,"10,857.92",-107.80,-11.58
14-8-2019,"10,020.93",-113.89,-11.67
15-8-2019,"10,300.95",-123.97,-12.10
16-8-2019,"10,357.36",-131.61,-13.09
17-8-2019,"10,209.83",-140.24,-14.33
18-8-2019,"10,319.71",-147.85,-15.83
19-8-2019,"10,922.27",-149.57,-17.43
20-8-2019,"10,762.07",-146.43,-18.62
21-8-2019,"10,130.55",-148.17,-19.10
22-8-2019,"10,122.97",-154.05,-19.39
23-8-2019,"10,406.72",-154.16,-19.86
24-8-2019,"10,147.50",-149.53,-20.02
25-8-2019,"10,136.39",-146.56,-19.54
26-8-2019,"10,363.61",-147.24,-18.71
27-8-2019,"10,173.06",-147.73,-17.90
28-8-2019,"9,717.26",-151.15,-17.10
29-8-2019,"9,489.40",-158.17,-16.55
30-8-2019,"9,580.53",-166.82,-16.49
31-8-2019,"9,600.94",-171.33,-16.95
1-9-2019,"9,768.02",-175.08,-17.47
2-9-2019,"10,386.88",-177.35,-17.98
3-9-2019,"10,621.47",-175.25,-18.36
4-9-2019,"10,584.28",-172.22,-18.27
5-9-2019,"10,580.82",-172.92,-17.76
6-9-2019,"10,320.70",-175.10,-17.21
7-9-2019,"10,483.88",-180.33,-16.76
8-9-2019,"10,403.67",-179.54,-16.63
9-9-2019,"10,311.49",-176.72,-16.28
10-9-2019,"10,095.88",-175.17,-15.59
11-9-2019,"10,159.12",-177.11,-14.75
12-9-2019,"10,424.17",-180.43,-14.08
13-9-2019,"10,363.99",-180.91,-13.66
14-9-2019,"10,359.78",-181.76,-13.21
15-9-2019,"10,309.05",-178.83,-12.78
16-9-2019,"10,266.10",-176.47,-12.06
17-9-2019,"10,190.78",-175.22,-11.17
18-9-2019,"10,156.94",-170.01,-10.24
19-9-2019,"10,265.23",-161.26,-8.99
20-9-2019,"10,170.01",-154.61,-7.20
21-9-2019,"9,979.65",-150.50,-5.19
22-9-2019,"10,026.95",-149.68,-3.23
23-9-2019,"9,689.03",-150.38,-1.59
24-9-2019,"8,536.72",-154.47,-0.35
25-9-2019,"8,435.35",-162.83,0.31
26-9-2019,"8,060.11",-169.82,0.15
27-9-2019,"8,193.68",-178.29,-0.53
28-9-2019,"8,219.08",-180.18,-1.73
29-9-2019,"8,052.32",-181.14,-2.81
30-9-2019,"8,303.79",-184.91,-3.70
1-10-2019,"8,323.54",-183.65,-4.65
2-10-2019,"8,380.49",-181.69,-5.24
3-10-2019,"8,231.22",-177.66,-5.49
4-10-2019,"8,154.56",-176.17,-5.30
5-10-2019,"8,148.04",-170.76,-4.98
6-10-2019,"7,859.23",-166.83,-4.23
7-10-2019,"8,209.15",-166.17,-3.29
8-10-2019,"8,184.08",-160.93,-2.45
9-10-2019,"8,589.79",-155.49,-1.36
10-10-2019,"8,586.93",-146.70,-0.05
11-10-2019,"8,269.06",-141.40,1.68
12-10-2019,"8,307.95",-139.71,3.44
13-10-2019,"8,280.48",-139.80,4.91
14-10-2019,"8,357.12",-139.33,6.00
15-10-2019,"8,161.26",-135.68,6.82
16-10-2019,"7,997.91",-135.12,7.68
17-10-2019,"8,075.26",-137.62,8.31
18-10-2019,"7,956.58",-135.91,8.51
19-10-2019,"7,961.17",-137.91,8.70
20-10-2019,"8,234.77",-138.38,8.60
21-10-2019,"8,213.53",-135.33,8.38
22-10-2019,"8,023.59",-132.09,8.36
23-10-2019,"7,472.36",-132.61,8.50
24-10-2019,"7,438.24",-137.74,8.48
25-10-2019,"8,666.53",-138.87,7.95
26-10-2019,"9,260.75",-134.00,7.36
27-10-2019,"9,549.05",-129.80,7.20
28-10-2019,"9,220.29",-121.71,7.33
29-10-2019,"9,431.46",-116.53,7.99
30-10-2019,"9,165.40",-110.67,8.83
31-10-2019,"9,152.56",-108.14,9.86
1-11-2019,"9,252.34",-105.79,10.75
2-11-2019,"9,306.11",-100.79,11.52
3-11-2019,"9,205.71",-94.96,12.38
4-11-2019,"9,413.55",-91.75,13.38
5-11-2019,"9,319.03",-85.49,14.27
6-11-2019,"9,343.63",-78.45,15.31
7-11-2019,"9,201.34",-70.99,16.51
8-11-2019,"8,766.13",-66.19,17.85
9-11-2019,"8,810.36",-66.71,19.08
10-11-2019,"9,033.99",-65.47,19.79
11-11-2019,"8,720.11",-59.62,20.22
12-11-2019,"8,812.75",-58.97,20.79
13-11-2019,"8,759.36",-57.36,21.05
14-11-2019,"8,631.42",-54.64,21.15
15-11-2019,"8,458.54",-53.89,21.19
16-11-2019,"8,482.64",-57.13,21.05
17-11-2019,"8,500.63",-57.85,20.44
18-11-2019,"8,170.93",-57.63,19.67
19-11-2019,"8,121.97",-61.99,18.86
20-11-2019,"8,083.38",-69.36,17.67
21-11-2019,"7,615.52",-78.16,15.94
22-11-2019,"7,285.16",-90.73,13.71
23-11-2019,"7,325.35",-105.48,10.79
24-11-2019,"6,908.45",-113.00,7.21
25-11-2019,"7,124.66",-124.02,3.73
26-11-2019,"7,161.60",-132.46,0.07
27-11-2019,"7,524.39",-135.16,-3.46
28-11-2019,"7,431.89",-132.93,-6.41
29-11-2019,"7,757.21",-131.12,-8.47
30-11-2019,"7,554.92",-125.55,-9.84
1-12-2019,"7,403.88",-124.41,-10.36
2-12-2019,"7,305.50",-124.35,-10.55
3-12-2019,"7,299.71",-126.33,-10.58
4-12-2019,"7,195.00",-128.34,-10.64
5-12-2019,"7,392.79",-132.06,-10.73
6-12-2019,"7,542.82",-132.32,-10.97
7-12-2019,"7,503.51",-129.73,-11.06
8-12-2019,"7,523.33",-126.61,-10.79
9-12-2019,"7,338.19",-121.45,-10.21
10-12-2019,"7,219.04",-120.58,-9.23
11-12-2019,"7,202.79",-122.78,-8.29
12-12-2019,"7,189.46",-125.69,-7.63
13-12-2019,"7,252.35",-126.00,-7.26
14-12-2019,"7,065.54",-124.98,-6.91
15-12-2019,"7,114.98",-127.62,-6.47
16-12-2019,"6,879.29",-128.09,-6.27
17-12-2019,"6,613.77",-132.00,-6.08
18-12-2019,"7,288.24",-139.62,-6.17
19-12-2019,"7,150.87",-140.19,-6.78
20-12-2019,"7,190.62",-141.71,-7.22
21-12-2019,"7,143.56",-141.26,-7.61
